CURRENT_EPISODE_NUMBER,TOTAL_REWARD_AT_END_OF_THIS_EPISODE
0,-1035
1,130
2,-895
3,120
4,295
5,255
6,-545
7,-1035
8,255
9,295
10,250
11,-860
12,295
13,-720
14,-1000
15,240
16,285
17,250
18,-650
19,-825
20,215
21,-895
22,-930
23,255
24,255
25,-930
26,-545
27,-615
28,-1070
29,-720
30,295
31,285
32,245
33,-685
34,255
35,80
36,-720
37,295
38,255
39,295
40,255
41,-545
42,-685
43,295
44,295
45,-965
46,-755
47,-615
48,-860
49,215
50,165
51,-720
52,-825
53,280
54,295
55,215
56,255
57,-685
58,-825
59,-860
60,255
61,-895
62,215
63,255
64,-755
65,250
66,170
67,295
68,295
69,-755
70,-580
71,-650
72,-650
73,-790
74,-580
75,285
76,215
77,-720
78,-755
79,295
80,295
81,-965
82,-860
83,295
84,-580
85,255
86,280
87,-720
88,-755
89,290
90,295
91,255
92,255
93,295
94,255
95,210
96,-685
97,255
98,255
99,135
100,-790
101,295
102,290
103,295
104,215
105,-930
106,295
107,210
108,-650
109,-825
110,295
111,280
112,-965
113,215
114,295
115,135
116,285
117,255
118,295
119,285
120,295
121,-790
122,-930
123,290
124,255
125,-930
126,255
127,-580
128,250
129,-650
130,-650
131,295
132,-615
133,-895
134,255
135,-1000
136,295
137,-825
138,255
139,-825
140,295
141,-860
142,215
143,175
144,-895
145,-825
146,295
147,-895
148,-930
149,245
150,295
151,295
152,-580
153,-895
154,255
155,290
156,-930
157,-720
158,295
159,-580
160,235
161,-895
162,175
163,-1000
164,250
165,255
166,-825
167,255
168,295
169,-685
170,295
171,215
172,255
173,290
174,-825
175,295
176,290
177,295
178,290
179,250
180,295
181,-685
182,-650
183,-685
184,295
185,295
186,255
187,-930
188,-965
189,-825
190,-965
191,-720
192,-930
193,285
194,-930
195,295
196,-825
197,-545
198,295
199,-790
200,-755
201,255
202,-545
203,255
204,295
205,295
206,215
207,290
208,-755
209,-895
210,-720
211,-1140
212,95
213,295
214,270
215,-580
216,-825
217,295
218,290
219,-755
220,-755
221,-650
222,295
223,-860
224,255
225,-860
226,-755
227,195
228,-1000
229,-965
230,290
231,-580
232,-650
233,-930
234,-790
235,295
236,-895
237,-615
238,255
239,255
240,-650
241,295
242,-720
243,-580
244,-895
245,-1035
246,295
247,255
248,-615
249,250
250,-545
251,275
252,215
253,215
254,255
255,295
256,-685
257,-895
258,-860
259,210
260,-650
261,-895
262,-685
263,-545
264,245
265,295
